;pH;NO3;NH4;Bact_rich;Fung_rich;Bact_PD;Fung_PD
FB20ATU-B07;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
FB20BTD-B03;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
FB20BTU-B09;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
FB20CTD-B05;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FB20CTU-B11;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FB26ATD-D01;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
FB26ATU-D07;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
FB26BTD-D03;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
FB26BTU-D09;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
FB26CTD-D05;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
FB30ATD-C01;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
FB30ATU-C07;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
FB30BTD-C03;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
FB30BTU-C09;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
FB30CTD-C05;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FB30CTU-C11;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FB36ATD-E01;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
FB36ATU-E07;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
FB36BTD-E03;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
FB36BTU-E09;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
FB36CTD-E05;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
FM20ATD-F01;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
FM20ATU-F07;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
FM20BTD-F03;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
FM20BTU-F09;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
FM20CTD-F05;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FM20CTU-F11;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FM26ATD-H01;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
FM26ATU-H07;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
FM26BTD-H03;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
FM26BTU-H09;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
FM26CTD-H05;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
FM30ATD-G01;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
FM30ATU-G07;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
FM30BTD-G03;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
FM30CTD-G05;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FM30CTU-G11;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
FM36ATD-A02;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
FM36BTD-A04;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
FM36BTU-A10;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14B20ATD-E07;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14B20ATU-H01;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14B20BTD-E09;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14B20BTU-H03;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14B20CTD-E11;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14B20CTU-H05;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14B26ATD-G07;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14B26ATU-B02;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14B26BTD-G09;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14B26BTU-B04;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14B26CTD-G11;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
P14B26CTU-B06;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
P14B30ATD-F07;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14B30ATU-A02;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14B30BTD-F09;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14B30BTU-A04;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14B30CTD-F11;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14B30CTU-A06;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14B36ATD-H07;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14B36ATU-C02;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14B36BTD-H09;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14B36BTU-C04;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14B36CTD-A12;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
P14B36CTU-C06;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
P14M20ATD-A08;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14M20ATU-D02;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14M20BTD-A10;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14M20BTU-D04;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14M20CTD-B12;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14M20CTU-D06;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14M26ATD-C08;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14M26ATU-F02;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14M26BTD-C10;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14M26BTU-F04;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14M26CTD-D12;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
P14M26CTU-F06;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
P14M30ATD-B08;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14M30ATU-E02;6.22;72.4;2.4;734.3158;90.75000;52.08037;5.695046
P14M30BTD-B10;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14M30BTU-E04;6.27;71.7;1.79;851.6383;63.85714;58.28315;5.811188
P14M30CTD-C12;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14M30CTU-E06;6.22;72.5;1.59;905.7632;47.16667;62.40288;5.137538
P14M36ATD-D08;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14M36ATU-G02;6.8;30.5;33.2;591.3636;16.0;44.73031;2.601803
P14M36BTD-D10;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14M36BTU-G04;6.97;27.2;31.5;583.1290;53.37500;46.97865;1.889537
P14M36CTD-E12;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
P14M36CTU-G06;6.91;29.4;33;449.6500;79.0;36.30227;4.535149
